SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
CNO,15.35,Finance,6.98,8.29,2.20,.01,1.8,2.67
CCB,15.43,Finance,14.29,22.15,1.08,.02,1.08,3
CCNC,1.91,Finance,NE,,-0.04,N/A,,
CVLY,14.11,Finance,12.37,,1.14,N/A,,
COHN,13.51,Finance,NE,,-3.56,N/A,,
CNS,70.98,Finance,28.17,34.22,2.52,2.66,2.57,3
CGROU,9.9766,Finance,,,,,,
CCH,13.81,Finance,,,,N/A,,
CIGI,60.84,Finance,22.96,51.64,2.65,.05,2.57,1.4
CBAN,11.85,Finance,12.34,,0.96,N/A,,
COLB,27.87,Finance,12.39,19.28,2.25,.02,2.68,2.4
CLBK,13.51,Finance,32.17,37.89,0.42,.04,0.48,1
CMA,39.44,Finance,7.46,34.53,5.29,20.08,7.81,3
CBSH,61.83,Finance,19.22,26.21,3.22,.03,3.58,3.63
CBSHP,25.84,Finance,,,,,,
CBU,56.33,Finance,17.66,22.76,3.19,.02,3.29,3
ESXB,5.06,Finance,,,,.01,0.7,2.33
CFBI,9.39,Finance,,,,N/A,,
CTBI,31.53,Finance,9.98,15.23,3.16,.02,3.64,3
CWBC,8.24,Finance,8.77,,0.94,N/A,,
CNFR,3.17,Finance,NE,NE,-1.28,-.01,-1.69,3
CNFRL,19.9062,Finance,,,,,,
CNOB,14.85,Finance,7.86,8.61,1.89,.01,2.25,1.33
CPSS,2.87,Finance,4.7,3.73,0.61,.00,0.22,1.67
CPAA,11.1,Finance,,,,N/A,,
CPAAU,11.9918,Finance,,,,,,
CPAAW,2.25,Finance,,,,,,
GYC,23.13,Finance,,,,,,
CLDB,13.49,Finance,8.93,,1.51,N/A,,
CRVL,66.88,Finance,26.33,,2.54,N/A,,
ICBK,22.51,Finance,21.64,27.74,1.04,.03,2.36,2
COWN,14.7,Finance,NE,7.61,-0.10,.01,2.21,1
COWNL,25.2001,Finance,,,,,,
COWNZ,24.53,Finance,,,,,,
CPF,15.9,Finance,8.98,12,1.77,.01,2.03,2.33
BAP,147.93,Finance,12.16,16.09,12.17,3.75,15.94,3.17
CACC,420.87,Finance,19.67,12.82,21.40,.01,34.7,4.2
DGLD,16.07,Finance,,,,N/A,,
DSLV,9.82,Finance,,,,N/A,,
GLDI,9.76,Finance,,,,N/A,,
SLVO,6.165,Finance,,,,N/A,,
TVIX,155.83,Finance,,,,N/A,,
UGLD,191.49,Finance,,,,N/A,,
USLV,65.02,Finance,,,,N/A,,
USOI,4.47,Finance,,,,N/A,,
VIIX,77.9,Finance,,,,N/A,,
ZIV,27.67,Finance,,,,N/A,,
CS,10.1,Finance,6.39,8.40,1.58,.01,,3
CRSA,10.16,Finance,,,,,,
CRSAU,10.4,Finance,,,,,,
CRSAW,1.21,Finance,,,,,,
CRESY,3.31,Finance,,,,N/A,,
CFB,10.15,Finance,,,,.02,0.58,2.8
CTO,39.06,Finance,1.96,27.61,19.89,.03,23,1
CFR,78.57,Finance,13.55,33.57,5.80,3.53,6.84,3.61
CURO,8.24,Finance,3.28,5.49,2.51,.01,2.65,1.5
